time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-03-24T13:38:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:39:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:40:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:41:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:42:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:43:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:44:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:45:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:46:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:47:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:48:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:49:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:50:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:51:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:52:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:53:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:54:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:55:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:56:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:57:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:58:00Z;6;;;;;;;;;;;;;;;
2022-03-24T13:59:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:00:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:01:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:02:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:03:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:04:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:05:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:06:00Z;6;;;;;;;;;;;;;;;
2022-03-24T14:07:00Z;6;;;;;;;;;;;;;;;
